year,total_emissions,mean_emissions,std_emissions,n_firms,total_facilities
2010,1189125069.59,10909404.31,20501149.82,109,1417
2011,1171329869.47,10185477.13,19482565.32,115,1512
2012,1125635388.41,9788133.81,18512718.98,115,1558
2013,1133561773.12,9688562.16,18255905.53,117,1593
2014,1149291348.66,9823002.98,18797756.15,117,1629
2015,1116534215.69,9543027.48,17841430.0,117,1650
2016,1075994993.75,9196538.41,17078733.58,117,1663
2017,1064040408.27,9094362.46,16650706.99,117,1679
2018,1090636662.41,9321680.88,16998908.96,117,1712
2019,1043317377.2,8917242.54,16056324.65,117,1751
2020,961590936.86,8218725.96,14535278.03,117,1782
2021,1017445885.33,8549965.42,15333270.2,119,1813
2022,1012459003.7,8367429.78,15202089.52,121,1832
2023,959634018.9,7930859.66,14478766.81,121,1848
