rank,company,industry,score,source
1,Merck & Co,Rahway,100,Newsweek Most Responsible
2,Xylem,Washington,89.61,Newsweek Most Responsible
3,HP,Palo Alto,82.01,Newsweek Most Responsible
4,Cisco Systems,San Jose,87.46,Newsweek Most Responsible
5,Hewlett Packard Enterprise,Spring,89.16,Newsweek Most Responsible
6,Regency Centers,Jacksonville,87.52,Newsweek Most Responsible
7,Applied Materials,Santa Clara,81.98,Newsweek Most Responsible
8,Hasbro,Pawtucket,80.17,Newsweek Most Responsible
9,Illumina,San Diego,72.54,Newsweek Most Responsible
10,Regeneron Pharmaceuticals,Tarrytown,86.02,Newsweek Most Responsible
11,Cadence Design Systems,San Jose,89.84,Newsweek Most Responsible
12,General Mills,Minneapolis,80.73,Newsweek Most Responsible
13,QUALCOMM,San Diego,94.07,Newsweek Most Responsible
14,Juniper Networks,Sunnyvale,97.18,Newsweek Most Responsible
15,AbbVie,North Chicago,79.62,Newsweek Most Responsible
16,Ciena,Hanover,84.67,Newsweek Most Responsible
17,Agilent Technologies,Santa Clara,86.06,Newsweek Most Responsible
18,Keysight Technologies,Santa Rosa,95.87,Newsweek Most Responsible
19,Edgewell Personal Care,Shelton,91.21,Newsweek Most Responsible
20,Williams Companies,Tulsa,77.22,Newsweek Most Responsible
21,Clorox,Oakland,78.24,Newsweek Most Responsible
22,Unum,Chattanooga,87.37,Newsweek Most Responsible
23,Tapestry,New York,83.33,Newsweek Most Responsible
24,American Tower,Boston,76.42,Newsweek Most Responsible
25,NVIDIA,Santa Clara,84.8,Newsweek Most Responsible
26,PayPal Holdings,San Jose,90.38,Newsweek Most Responsible
27,Western Digital,San Jose,86.78,Newsweek Most Responsible
28,Broadcom,San Jose,87.45,Newsweek Most Responsible
29,AptarGroup,Crystal Lake,87.72,Newsweek Most Responsible
30,First Solar,Tempe,81.86,Newsweek Most Responsible
31,HNI,Muscatine,91.41,Newsweek Most Responsible
32,Autodesk,San Francisco,87.83,Newsweek Most Responsible
33,United Rentals,Stamford,83.07,Newsweek Most Responsible
34,Microsoft,Redmond,87.25,Newsweek Most Responsible
35,Berry Global,Evansville,83.64,Newsweek Most Responsible
36,Healthpeak Properties,Denver,84.07,Newsweek Most Responsible
37,Ecolab,Saint Paul,72.43,Newsweek Most Responsible
38,Avery Dennison,Glendale,89.12,Newsweek Most Responsible
39,Moody's,New York,86.14,Newsweek Most Responsible
40,Dell Technologies,Round Rock,81.45,Newsweek Most Responsible
41,Lear Corporation,Southfield,96.47,Newsweek Most Responsible
42,Estee Lauder Companies,New York,74.13,Newsweek Most Responsible
43,Greif,Delaware,96.12,Newsweek Most Responsible
44,Intel,Santa Clara,76.07,Newsweek Most Responsible
45,Micron Technology,Boise,85.98,Newsweek Most Responsible
46,Avient,Avon Lake,81.44,Newsweek Most Responsible
47,Lam Research,Fremont,75.76,Newsweek Most Responsible
48,Crown Holdings,Philadelphia,86.57,Newsweek Most Responsible
49,Advanced Micro Devices,Santa Clara,79.71,Newsweek Most Responsible
